All Transactions Report Created: 2018-06-30 18:02:18 -0500
,
Filter Criteria:,Last Year
,All Accounts
,Any Status
,
,"Scheduled","Split","Date","Type","Check #","Security","Payee","Category","Comm/Fee","Shares","Amount","Account","Memo/Notes"
,,,"12/29/2017","Payment/Deposit",,"","Paschals B","Dining:Family","",,"-19.19","Discover4221(6)","airport breakfast"
,,,"12/29/2017","Payment/Deposit",,"","MyFax","Supplies","",,"-10.00","Discover4221(6)","efax"
,,,"12/29/2017","Payment/Deposit",,"","Tbo Trf","Fix Me","",,"-300.00","Checking","MD loan payment"
,,,"12/29/2017","Payment/Deposit",,"","Interest Earned","Uncategorized","",,"0.13","Fidelity HSA XX5575","INTEREST EARNED"
,,,"12/29/2017","Payment/Deposit",,"","IBM match 2017","Transfer:[IBM 401k Fidelity]","",,"-10,918.25","Deferred 401k Match",
,,,"12/29/2017","Payment/Deposit",,"","IBM match 2017","Transfer:[Deferred 401k Match]","",,"10,918.25","IBM 401k Fidelity",
,,,"12/29/2017","Payment/Deposit",,"","IBM Paycheck","Transfer:[Savings]","",,"214.58","Fidelity HSA XX5575","Medical savings plan"
,,,"12/29/2017","Payment/Deposit",,"","IBM Paycheck","Transfer:[Savings]","",,"339.20","IBM 401k Fidelity","contribution"
,,"S","12/29/2017","Payment/Deposit",,"","IBM Paycheck","Salary","",,"5,653.25","Savings","Gross pay"
,,"S","12/29/2017","Payment/Deposit",,"","IBM Paycheck","Salary","",,"78.54","Savings","Life Insurance (implied)"
,,"S","12/29/2017","Payment/Deposit",,"","IBM Paycheck","Salary","",,"17.00","Savings","award tax assist"
,,"S","12/29/2017","Payment/Deposit",,"","IBM Paycheck","Tax:Medicare","",,"-78.90","Savings","Paycheck"
,,"S","12/29/2017","Payment/Deposit",,"","IBM Paycheck","Tax:Soc Sec","",,"-85.19","Savings","Paycheck"
,,"S","12/29/2017","Payment/Deposit",,"","IBM Paycheck","Tax:Fed","",,"-577.30","Savings","Paycheck"
,,"S","12/29/2017","Payment/Deposit",,"","IBM Paycheck","Tax:Kansas","",,"-207.85","Savings","Paycheck"
,,"S","12/29/2017","Payment/Deposit",,"","IBM Paycheck","Transfer:[IBM 401k Fidelity]","",,"-339.20","Savings","contribution"
,,"S","12/29/2017","Payment/Deposit",,"","IBM Paycheck","Insurance:Medical","",,"-124.78","Savings","Health care (medical + dental)"
,,"S","12/29/2017","Payment/Deposit",,"","IBM Paycheck","Transfer:[Fidelity HSA XX5575]","",,"-214.58","Savings","Medical savings plan"
,,"S","12/29/2017","Payment/Deposit",,"","IBM Paycheck","Insurance:Life","",,"0.00","Savings","Life Insurance"
,,"S","12/29/2017","Payment/Deposit",,"","IBM Paycheck","Insurance:Life","",,"-78.54","Savings","LIfe Insurance (implied)"
,,,"12/29/2017","Payment/Deposit",,"","IBM Match","Misc Inc","",,"498.25","Deferred 401k Match","IBM Match"
,,,"12/28/2017","Payment/Deposit",,"","El Felix","Dining:Family","",,"-58.64","Sears 9920(29)",
,,,"12/28/2017","Payment/Deposit",,"","Fairfield","Vacation","",,"-169.85","Checking","Vacation fees"
,,,"12/27/2017","Payment/Deposit",,"","Shell","Auto:Fuel","",,"-18.58","BOA AAA 8044(1)","atlanta"
,,,"12/27/2017","Payment/Deposit",,"","Stoney River","Dining:Family","",,"-41.48","Sears 9920(29)",
,,,"12/27/2017","Payment/Deposit",,"","CVS Pharmacy","Fix Me","",,"-16.98","Discover 3128(6)",
,,,"12/27/2017","Payment/Deposit",,"","APL* ITUNES.COM/BILL 866-712-775","Subscriptions","",,"-16.35","Discover 3128(6)","HBO"
,,,"12/27/2017","Payment/Deposit",,"","RESURGENS ROSWELL ROSWELL GA","Medical:Devices","",,"-44.10","Discover4221(6)","MD boot"
,,,"12/27/2017","Payment/Deposit",,"","WAFFLE HOUSE 1038 ROSWELL GA","Dining:Family","",,"-24.74","Discover4221(6)",
,,,"12/27/2017","Payment/Deposit",,"","Discover Card","Transfer:[Checking]","",,"4,015.62","Discover 3128(6)","payment (auto)"
,,,"12/27/2017","Payment/Deposit",,"","Discover Card","Transfer:[Discover 3128(6)]","",,"-4,015.62","Checking","payment (auto)"
,,,"12/27/2017","Payment/Deposit",,"","Barclay (Apple)","Transfer:[Checking]","",,"27.00","Apple Rewards 2672(3)","payment (auto)"
,,,"12/27/2017","Payment/Deposit",,"","Barclay (Apple)","Transfer:[Apple Rewards 2672(3)]","",,"-27.00","Checking","payment (auto)"
,,,"12/26/2017","Interest Income",,"EXTENDED INSURANCE SWEEP DEPOSIT ACCOUNT 3.50% 03/01/2043","EXTENDED INSURANCE SWEEP DEPOSIT ACCOUNT 3.50% 03/01/2043","Investments:Interest Income","",,"0.04","TD IRA (E*Trade)","INT - EXTENDED INSURANCE SWEEP - DEPOSIT ACCOUNT"
,,,"12/26/2017","Interest Income",,"EXTENDED INSURANCE SWEEP DEPOSIT ACCOUNT 3.50% 03/01/2043","EXTENDED INSURANCE SWEEP DEPOSIT ACCOUNT 3.50% 03/01/2043","Investments:Interest Income","",,"0.02","GD IRA (E*Trade)","INT - EXTENDED INSURANCE SWEEP - DEPOSIT ACCOUNT"
,,,"12/26/2017","Interest Income",,"EXTENDED INSURANCE SWEEP DEPOSIT ACCOUNT 3.50% 03/01/2043","EXTENDED INSURANCE SWEEP DEPOSIT ACCOUNT 3.50% 03/01/2043","Investments:Interest Income","",,"0.16","ETrade","INT - EXTENDED INSURANCE SWEEP - DEPOSIT ACCOUNT"
,,,"12/26/2017","Payment/Deposit",,"","Purchases","Fix Me","",,"-60.26","Kohls 3215(25)",
,,,"12/26/2017","Payment/Deposit","4630","","Alma Hedges","Personal","",,"-35.00","Checking","TD haircut"
,,,"12/26/2017","Payment/Deposit",,"","CVS Pharmacy","Fix Me","",,"-28.88","Discover 3128(6)",
,,,"12/26/2017","Payment/Deposit",,"","Ancestry.Com","Membership","",,"-19.95","Discover 3128(6)",
,,,"12/26/2017","Payment/Deposit",,"","APL* ITUNES.COM/BILL 866-712-775","Household:Electronics","",,"-1.08","Discover 3128(6)","app"
,,,"12/26/2017","Payment/Deposit",,"","WAFFLE HOUSE 1038 ROSWELL GA","Dining:Family","",,"-23.34","Discover4221(6)",
,,,"12/26/2017","Payment/Deposit",,"","MCALISTERS DELI 1031 Q83 ROSWELL","Dining:Family","",,"-22.58","Discover4221(6)",
,,,"12/26/2017","Payment/Deposit",,"","MCALISTERS DELI 1031 Q83 ROSWELL","Dining:Family","",,"-4.30","Discover4221(6)",
,,,"12/26/2017","Payment/Deposit",,"","Wendy's","Dining:Family","",,"-3.64","Discover4221(6)",
,,,"12/26/2017","Payment/Deposit",,"","Sears","Transfer:[Checking]","",,"685.89","Sears 9920(29)","payment (auto)"
,,,"12/26/2017","Payment/Deposit",,"","Sears","Transfer:[Sears 9920(29)]","",,"-685.89","Checking","payment (auto)"
,,,"12/25/2017","Payment/Deposit",,"","Hotel W","Dining:Family","",,"-70.81","Sears 9920(29)",
,,,"12/25/2017","Payment/Deposit",,"","AMAZON SERVICES-KINDLE 866-321-8","Books","",,"-13.98","Discover 3128(6)",
,,,"12/25/2017","Payment/Deposit",,"","WAFFLE HOUSE 1038 ROSWELL GA","Dining:Family","",,"-32.14","Discover4221(6)",
,,,"12/24/2017","Payment/Deposit",,"","Houstons","Dining:Family","",,"-125.36","Sears 9920(29)",
,,,"12/24/2017","Payment/Deposit",,"","LAKE LANIER ISLAND RESOR BUFORD","Entertainment","",,"-45.00","Discover 3128(6)","xmas lights"
,,,"12/24/2017","Payment/Deposit",,"","CVS Pharmacy","Fix Me","",,"-13.90","Discover 3128(6)",
,,,"12/23/2017","Payment/Deposit",,"","Advantage Car College","Vacation","",,"-346.55","Discover4221(6)","atlanta rental"
,,,"12/23/2017","Payment/Deposit",,"","Hy Vee","Groceries","",,"-3.25","Sears 9920(29)",
,,,"12/23/2017","Payment/Deposit",,"","ATM Nall Valley 15081 Nall Avenue","Fix Me","",,"45.00","Checking","overpayment refund"
,,,"12/23/2017","Payment/Deposit",,"","Home Depot","Fix Me","",,"-17.29","Discover 3128(6)",
,,,"12/23/2017","Payment/Deposit",,"","McDonald's","Dining","",,"-6.52","Discover 3128(6)","DBT PURCHASE ON 09/13 @ 13:48 MCDONALD'S F11441 MCDONALD'S F114"
,,,"12/23/2017","Payment/Deposit",,"","APL* ITUNES.COM/BILL 866-712-775","Household:Electronics","",,"-0.99","Discover 3128(6)","app"
,,,"12/23/2017","Payment/Deposit",,"","Wal-Mart","Fix Me:WalMart","",,"-17.13","Discover4221(6)",
,,,"12/23/2017","Payment/Deposit",,"","McDonald's","Dining","",,"-14.87","Discover4221(6)","DBT PURCHASE ON 09/13 @ 13:48 MCDONALD'S F11441 MCDONALD'S F114"
,,,"12/23/2017","Payment/Deposit",,"","McDonald's","Dining:Greg","",,"-2.14","Discover4221(6)","DBT PURCHASE ON 09/13 @ 13:48 MCDONALD'S F11441 MCDONALD'S F114"
,,,"12/22/2017","Payment/Deposit",,"","BLUE MOOSE","Dining:Family","",,"-26.21","Sears 9920(29)",
,,,"12/22/2017","Payment/Deposit",,"","Hy Vee","Groceries","",,"-40.71","Sears 9920(29)",
,,,"12/22/2017","Payment/Deposit",,"","Hy Vee","Auto:Fuel","",,"-27.77","Sears 9920(29)","odyssey"
,,,"12/22/2017","Payment/Deposit",,"","MENARDS BELTON MO BELTON MO","Fix Me","",,"-88.57","Discover 3128(6)",
,,,"12/22/2017","Payment/Deposit",,"","MANS BEST FRIEND BELTON MO","Pets","",,"-32.00","Discover 3128(6)",
,,,"12/22/2017","Payment/Deposit",,"","Wal-Mart","Fix Me:WalMart","",,"-9.62","Discover 3128(6)",
,,,"12/22/2017","Payment/Deposit",,"","Wal-Mart","Fix Me:WalMart","",,"-8.69","Discover 3128(6)",
,,,"12/22/2017","Payment/Deposit",,"","McDonald's","Dining","",,"-7.72","Discover 3128(6)","DBT PURCHASE ON 09/13 @ 13:48 MCDONALD'S F11441 MCDONALD'S F114"
,,,"12/22/2017","Payment/Deposit",,"","DOLLAR TREE BELTON MO","Fix Me","",,"-4.40","Discover 3128(6)",
,,,"12/21/2017","Payment/Deposit",,"","RED ROBIN","Dining:Family","",,"-33.33","Sears 9920(29)",
,,,"12/21/2017","Payment/Deposit",,"","DSW PINNACLE VILLAGE OVERLAND PA","Fix Me","",,"-54.54","Discover 3128(6)",
,,,"12/21/2017","Payment/Deposit",,"","ROASTERIE CAFE LEAWOOD LEAWOOD K","Dining:Terry","",,"-7.85","Discover 3128(6)",
,,,"12/21/2017","Payment/Deposit","4628","","Crossroads","Clothing","",,"-95.00","Checking","roundrobin shirts"
,,,"12/21/2017","Payment/Deposit","4629","","Crossroads","Charity:Cash","",,"-25.00","Checking","roundrobin donation"
,,,"12/20/2017","Payment/Deposit",,"","Wal-Mart","Fix Me:WalMart","",,"-164.63","Discover 3128(6)",
,,,"12/20/2017","Payment/Deposit",,"","ULTA","Personal Care","",,"-69.13","Discover 3128(6)",
,,,"12/20/2017","Payment/Deposit",,"","Big Lots","Fix Me","",,"-57.27","Discover 3128(6)",
,,,"12/20/2017","Payment/Deposit",,"","Big Lots","Fix Me","",,"-11.01","Discover 3128(6)",
,,,"12/20/2017","Payment/Deposit",,"","McDonald's","Dining:Terry","",,"-6.85","Discover 3128(6)","DBT PURCHASE ON 09/13 @ 13:48 MCDONALD'S F11441 MCDONALD'S F114"
,,,"12/20/2017","Payment/Deposit",,"","Withdrawal","Transfer:[Checking]","",,"60.00","Terry Cash",
,,,"12/20/2017","Payment/Deposit",,"","Withdrawal","Transfer:[Terry Cash]","",,"-60.00","Checking",
,,,"12/20/2017","Payment/Deposit",,"","Kcpt Donations","Charity:Cash","",,"-19.00","Checking",
,,,"12/19/2017","Payment/Deposit",,"","Hen House","Groceries","",,"-18.24","Sears 9920(29)",
,,,"12/19/2017","Payment/Deposit",,"","Minskis","Dining:Family","",,"-27.64","Sears 9920(29)",
,,,"12/19/2017","Payment/Deposit",,"","AMC TOWN CENTER 20 #0038 LEAWOOD","Entertainment","",,"-5.46","Discover 3128(6)","ladybird"
,,,"12/19/2017","Payment/Deposit",,"","SANFORD PROFILE 11082 OLATHE KS","Membership","",,"-50.00","Discover 3128(6)",
,,,"12/19/2017","Payment/Deposit",,"","From savings","Transfer:[Checking]","",,"-5,000.00","Savings",
,,,"12/19/2017","Payment/Deposit",,"","From savings","Transfer:[Savings]","",,"5,000.00","Checking",
,,,"12/19/2017","Payment/Deposit",,"","KOHLS","Transfer:[Checking]","",,"541.64","Kohls 3215(25)","payment (auto)"
,,,"12/19/2017","Payment/Deposit",,"","KOHLS","Transfer:[Kohls 3215(25)]","",,"-541.64","Checking","payment (auto)"
,,,"12/18/2017","Payment/Deposit",,"","First Choice Interlock","Fix Me","",,"-82.50","Sears 9920(29)","MD car"
,,,"12/18/2017","Payment/Deposit",,"","IHOP","Dining:Family","",,"-3.72","Sears 9920(29)",
,,,"12/18/2017","Payment/Deposit",,"","Zarda","Dining:Family","",,"-24.69","Sears 9920(29)",
,,,"12/18/2017","Payment/Deposit",,"","Purchases","Fix Me","",,"-70.94","Kohls 3215(25)",
,,,"12/18/2017","Payment/Deposit",,"","Wal-Mart","Fix Me:WalMart","",,"-34.82","Discover 3128(6)",
,,,"12/18/2017","Payment/Deposit",,"","USPS PO 2842330145 KANSAS CITY M","Supplies","",,"-9.80","Discover 3128(6)",
,,,"12/18/2017","Payment/Deposit",,"","SEARS WARRANTY 855-256-2467 FL","Insurance","",,"-49.99","Discover 3128(6)",
,,,"12/18/2017","Payment/Deposit",,"","Target","Fix Me","",,"-20.57","Discover 3128(6)","DBT PURCHASE ON 09/14 @ 16:56 TARGET 00017574 TARGET 00017574 O"
,,,"12/18/2017","Payment/Deposit",,"","Amazon.com","Subscriptions","",,"-8.99","Discover 3128(6)",
,,"S","12/18/2017","Payment/Deposit",,"","ATM Old Metcalf 13500 Metcalf Avenue","Fix Me","",,"100.00","Checking","tracy"
,,"S","12/18/2017","Payment/Deposit",,"","ATM Old Metcalf 13500 Metcalf Avenue","Fix Me","",,"10.00","Checking","gma"
,,,"12/17/2017","Payment/Deposit",,"","Big Biscuit","Dining:Family","",,"-21.04","Sears 9920(29)",
,,,"12/17/2017","Payment/Deposit",,"","Wal-Mart","Fix Me:WalMart","",,"-46.64","Discover4221(6)",
,,,"12/17/2017","Payment/Deposit",,"","LaZBoy","Transfer:[Checking]","",,"257.00","LaZBoy","payment (auto)"
,,,"12/17/2017","Payment/Deposit",,"","LaZBoy","Transfer:[LaZBoy]","",,"-257.00","Checking","payment (auto)"
,,,"12/16/2017","Payment/Deposit",,"","PAYPAL *ORCHARDBRAN 402-935-7733","Fix Me","",,"-39.99","Discover 3128(6)",
,,,"12/15/2017","Buy",,"Vanguard LT TREASURY ADM","Vanguard LT TREASURY ADM","Investments:Buy","","13.546","-169.60","IBM 401k Fidelity","CONTRIBUTION;VANG LT TREASURY ADM OQAX;as of 12/15/2017"
,,,"12/15/2017","Buy",,"Stable Value","Stable Value","Investments:Buy","","25.78","-169.60","IBM 401k Fidelity","CONTRIBUTION;INTEREST INCOME FUND OJFA;as of 12/15/2017"
,,,"12/15/2017","Buy",,"WELLS FARGO HSA FDIC INSURED NOT COVERED BY SIPC","WELLS FARGO HSA FDIC INSURED NOT COVERED BY SIPC","Investments:Buy","","214.58","-214.58","Fidelity HSA XX5575",""
,,,"12/15/2017","Payment/Deposit",,"","Hen House","Groceries","",,"-36.95","Sears 9920(29)",
,,,"12/15/2017","Payment/Deposit",,"","STAPLES 00118471105 OVERLAND PAR","Fix Me","",,"-42.54","Discover 3128(6)",
,,,"12/15/2017","Payment/Deposit",,"","HUNTER FAMILY VISION LEAWOOD KS","Medical:Doctor","",,"-27.13","Discover 3128(6)",
,,,"12/15/2017","Payment/Deposit",,"","Wendy's","Dining:Greg","",,"-4.36","Discover4221(6)",
,,,"12/15/2017","Payment/Deposit",,"","BEDBATH&BEYOND OVERLAND KS","Fix Me","",,"7.74","Discover 3128(6)",
,,,"12/15/2017","Payment/Deposit",,"","Water District #1","Utilities:Water","",,"-129.69","Checking",
,,,"12/15/2017","Payment/Deposit",,"","IBM Paycheck","Transfer:[Savings]","",,"214.58","Fidelity HSA XX5575","Medical savings plan"
,,,"12/15/2017","Payment/Deposit",,"","IBM Paycheck","Transfer:[Savings]","",,"339.20","IBM 401k Fidelity","contribution"
,,"S","12/15/2017","Payment/Deposit",,"","IBM Paycheck","Salary","",,"5,653.25","Savings","Gross pay"
,,"S","12/15/2017","Payment/Deposit",,"","IBM Paycheck","Salary","",,"78.54","Savings","Life Insurance (implied)"
,,"S","12/15/2017","Payment/Deposit",,"","IBM Paycheck","Tax:Medicare","",,"-78.19","Savings","Paycheck"
,,"S","12/15/2017","Payment/Deposit",,"","IBM Paycheck","Tax:Soc Sec","",,"-334.33","Savings","Paycheck"
,,"S","12/15/2017","Payment/Deposit",,"","IBM Paycheck","Tax:Fed","",,"-564.97","Savings","Paycheck"
,,"S","12/15/2017","Payment/Deposit",,"","IBM Paycheck","Tax:Kansas","",,"-205.38","Savings","Paycheck"
,,"S","12/15/2017","Payment/Deposit",,"","IBM Paycheck","Transfer:[IBM 401k Fidelity]","",,"-339.20","Savings","contribution"
,,"S","12/15/2017","Payment/Deposit",,"","IBM Paycheck","Insurance:Medical","",,"-124.78","Savings","Health care (medical + dental)"
,,"S","12/15/2017","Payment/Deposit",,"","IBM Paycheck","Transfer:[Fidelity HSA XX5575]","",,"-214.58","Savings","Medical savings plan"
,,"S","12/15/2017","Payment/Deposit",,"","IBM Paycheck","Insurance:Life","",,"0.00","Savings","Life Insurance"
,,"S","12/15/2017","Payment/Deposit",,"","IBM Paycheck","Insurance:Life","",,"-78.54","Savings","LIfe Insurance (implied)"
,,"S","12/15/2017","Payment/Deposit",,"","IBM Paycheck","Uncategorized","",,"-79.73","Savings","Paycheck"
,,,"12/15/2017","Payment/Deposit",,"","IBM Match","Misc Inc","",,"450.00","Deferred 401k Match","IBM Match"
,,,"12/14/2017","Reinvest Dividend",,"International Business Machine","International Business Machine","Investments:Reinvest Dividend","","0.041","0.00","IBM Options Morgan Stanley",""
,,,"12/14/2017","Payment/Deposit",,"","Wal-Mart","Fix Me:WalMart","",,"-90.37","Discover 3128(6)",
,,,"12/14/2017","Payment/Deposit",,"","Wal-Mart","Fix Me:WalMart","",,"-22.89","Discover 3128(6)",
,,,"12/14/2017","Payment/Deposit",,"","Whole Foods","Dining:Greg","",,"-4.40","Discover4221(6)",
,,,"12/14/2017","Payment/Deposit",,"","Amazon.com","Fix Me","",,"65.45","Discover 3128(6)",
,,,"12/14/2017","Payment/Deposit",,"","Amazon.com","Fix Me","",,"31.77","Discover 3128(6)",
,,,"12/13/2017","Payment/Deposit",,"","TALK OF THE TOWN GRILL & OVERLAN","Dining:Greg","",,"-14.23","Discover 3128(6)",
,,,"12/13/2017","Payment/Deposit",,"","Wendy's","Dining:Greg","",,"-6.34","Discover 3128(6)",
,,,"12/13/2017","Payment/Deposit",,"","GOOGLE *SERVICES G.CO/HELPPAY#CA","Utilities:Cable TV","",,"-172.61","Discover 3128(6)",
,,,"12/13/2017","Payment/Deposit",,"","9640 AMC ONLINE 888-440-4262 KS","Membership","",,"-15.00","Discover 3128(6)","stubs"
,,,"12/12/2017","Payment/Deposit",,"","Wal-Mart","Fix Me:WalMart","",,"-13.23","Discover 3128(6)",
,,,"12/12/2017","Payment/Deposit","4627","","Xmas Concert","Entertainment","",,"-65.00","Checking",
,,,"12/12/2017","Payment/Deposit",,"","USPS PO 2842330145 KANSAS CITY M","Supplies","",,"-36.13","Discover 3128(6)","shipping"
,,,"12/12/2017","Payment/Deposit",,"","MICHAELS STORES 5707 KANSAS CITY","Fix Me","",,"-33.16","Discover 3128(6)",
,,,"12/12/2017","Payment/Deposit",,"","AMC TOWN CENTER 20 #0038 LEAWOOD","Entertainment","",,"-8.83","Discover 3128(6)","Thor"
,,,"12/12/2017","Payment/Deposit",,"","McDonald's","Dining:Terry","",,"-6.85","Discover 3128(6)","DBT PURCHASE ON 09/13 @ 13:48 MCDONALD'S F11441 MCDONALD'S F114"
,,,"12/12/2017","Payment/Deposit",,"","Panda Express","Dining:Greg","",,"-8.00","Discover4221(6)",
,,,"12/12/2017","Payment/Deposit",,"","AMC TOWN CENTER 20 #0038 LEAWOOD","Dining:Terry","",,"-5.46","Discover4221(6)","concessions"
,,,"12/12/2017","Payment/Deposit",,"","From savings","Transfer:[Checking]","",,"-10,000.00","Savings",
,,,"12/12/2017","Payment/Deposit",,"","From savings","Transfer:[Savings]","",,"10,000.00","Checking",
,,,"12/12/2017","Payment/Deposit",,"","Discover Card","Transfer:[Checking]","",,"20,043.79","Discover4221(6)","payment (auto)"
,,,"12/12/2017","Payment/Deposit",,"","Discover Card","Transfer:[Discover4221(6)]","",,"-20,043.79","Checking","payment (auto)"
,,,"12/11/2017","Payment/Deposit",,"","IHOP","Dining:Family","",,"-15.62","Sears 9920(29)",
,,,"12/11/2017","Payment/Deposit",,"","PAYPAL *LANDSENDINC 402-935-7733","Fix Me","",,"-76.56","Discover 3128(6)",
,,,"12/11/2017","Payment/Deposit",,"","Wal-Mart","Fix Me:WalMart","",,"-32.47","Discover 3128(6)",
,,,"12/11/2017","Payment/Deposit",,"","LEVELUP*PLANETSUB84614 855-466-5","Dining:Greg","",,"-1.42","Discover4221(6)",
,,,"12/11/2017","Payment/Deposit",,"","Wal-Mart","Fix Me:WalMart","",,"8.60","Discover 3128(6)",
,,,"12/11/2017","Payment/Deposit",,"","Loan Nissan Leaf","Transfer:[Checking]","",,"0.00","Loan Nissan Leaf",
,,,"12/11/2017","Payment/Deposit",,"","Loan Nissan Leaf","Transfer:[Checking]","",,"633.13","Loan Nissan Leaf",
,,"S","12/11/2017","Payment/Deposit",,"","Loan Nissan Leaf","Transfer:[Loan Nissan Leaf]","",,"-633.13","Checking",
,,"S","12/11/2017","Payment/Deposit",,"","Loan Nissan Leaf","Auto & Transport:Auto Payment:Interest","",,"-4.76","Checking",
,,"S","12/11/2017","Payment/Deposit",,"","Loan Nissan Leaf","Transfer:[Loan Nissan Leaf]","",,"0.00","Checking",
,,"S","12/11/2017","Payment/Deposit",,"","Loan Nissan Leaf","Auto & Transport:Auto Payment","",,"0.00","Checking",
,,,"12/10/2017","Payment/Deposit",,"","Jose Peppers","Dining:Family","",,"-33.46","Sears 9920(29)",
,,,"12/10/2017","Payment/Deposit",,"","Amazon.com","Fix Me","",,"21.44","Discover 3128(6)",
,,,"12/9/2017","Payment/Deposit",,"","Pinstripes","Dining:Family","",,"-44.58","Sears 9920(29)",
,,,"12/8/2017","Payment/Deposit",,"","JOCO Taxes","Tax:Real Estate","",,"-2,259.13","Escrow2017",
,,,"12/8/2017","Payment/Deposit",,"","Wal-Mart","Fix Me:WalMart","",,"-145.34","Discover 3128(6)",
,,,"12/8/2017","Payment/Deposit",,"","Wal-Mart","Fix Me:WalMart","",,"-58.36","Discover 3128(6)",
,,,"12/8/2017","Payment/Deposit",,"","HAWTHORNE ANIMAL HOSPITA OVERLAN","Pets","",,"-50.10","Discover 3128(6)",
,,,"12/8/2017","Payment/Deposit",,"","Popeyes","Dining:Greg","",,"-6.89","Discover4221(6)",
,,,"12/8/2017","Payment/Deposit",,"","Hellofresh Cityny","Groceries","",,"-59.94","Discover 3128(6)",
,,,"12/7/2017","Payment/Deposit",,"","Ginger Sues","Fix Me","",,"-14.44","Sears 9920(29)",
,,,"12/7/2017","Payment/Deposit",,"","Returns","Fix Me","",,"16.35","Kohls 3215(25)",
,,,"12/7/2017","Payment/Deposit",,"","Purchases","Fix Me","",,"-20.45","Kohls 3215(25)",
,,,"12/7/2017","Payment/Deposit",,"","Home Depot","Fix Me","",,"-44.27","Discover 3128(6)",
,,,"12/7/2017","Payment/Deposit",,"","Big Lots","Fix Me","",,"-19.18","Discover 3128(6)",
,,,"12/7/2017","Payment/Deposit",,"","ARBY'S 6028 SHAWNEE KS","Dining:Family","",,"-18.55","Discover 3128(6)",
,,,"12/7/2017","Payment/Deposit",,"","Amazon.com","Books","",,"-14.99","Discover 3128(6)","disaster artist"
