All Transactions Report Created: 2018-08-15 22:57:58 -0500
,
﻿Filter Criteria:,All Dates
,All Accounts
,Any Status
,Selected Transactions
,
﻿,"Split","Date","Type","Action","Check #","Security","Payee","Description","Category","Comm/Fee","Shares","Amount","Account","Memo/Notes"
﻿,,"4/22/2018","Payment/Deposit","",,"","Phillips Royal Llc","Auto:Fuel","Auto:Fuel","",,"-36.78","Matt Checking 0451","DBT PURCHASE ON 04/22 @ 23:35 PHILLIPS 66 - ROYAL LLC PHILLIPS 6"
﻿,,"4/21/2018","Payment/Deposit","",,"","First Choice Interlock","Uncategorized","Uncategorized","",,"-80.00","Matt Checking 0451","POS PURCHASE ON 04/21 @ 12:11 FIRST CHOICE INTERLOCK FIRST CHOIC"
﻿,,"4/21/2018","Payment/Deposit","",,"","ATM Village Seville","Uncategorized","Uncategorized","",,"-20.00","Matt Checking 0451","ATM VILLAGE SEVILLE 13100 STATE LINE ROAD LEAWOOD KS CARD NBR: -"
﻿,,"4/21/2018","Payment/Deposit","",,"","TaxACT","Tax","Tax","",,"-14.95","Matt Checking 0451","DBT PURCHASE ON 04/21 @ 20:23 TAXACT *ONLINE 1 TAXACT *ONLINE 1"
﻿,,"4/21/2018","Payment/Deposit","",,"","McDonald's","Dining:Greg","Dining:Greg","",,"-6.32","Matt Checking 0451","DBT PURCHASE ON 04/21 @ 14:59 MCDONALD'S F13765 MCDONALD'S F1376"
﻿,,"4/21/2018","Payment/Deposit","",,"","Phillips Royal Llc","Uncategorized","Uncategorized","",,"-3.59","Matt Checking 0451","DBT PURCHASE ON 04/21 @ 14:59 PHILLIPS 66 - ROYAL LLC PHILLIPS 6"
﻿,,"4/21/2018","Payment/Deposit","",,"","Tbo Trf","Transfer:[Matt Checking 0451]","Transfer:[Matt Checking 0451]","",,"-80.00","Checking",
﻿,,"4/21/2018","Payment/Deposit","",,"","Tbo Trf","Transfer:[Checking]","Transfer:[Checking]","",,"80.00","Matt Checking 0451",
﻿,,"4/20/2018","Payment/Deposit","",,"","Opening Balance","Transfer:[JC Penney 4541 (28)]","Transfer:[JC Penney 4541 (28)]","",,"0.00","JC Penney 4541 (28)",
﻿,,"4/20/2018","Payment/Deposit","",,"","Bue Moose","Dining:Greg","Dining:Greg","",,"-19.70","Sears 9920(29)",
﻿,,"4/20/2018","Payment/Deposit","",,"","Hy Vee","Groceries","Groceries","",,"-65.02","Sears 9920(29)",
﻿,,"4/20/2018","Payment/Deposit","",,"","Wal-Mart","Fix Me:WalMart","Fix Me:WalMart","",,"-13.98","Discover 3128(6)",
﻿,,"4/20/2018","Payment/Deposit","",,"","ZEROREZ OF KC 816-425-3655 MO","Household:Cleaning","Household:Cleaning","",,"-177.00","Discover 3128(6)","carpet"
﻿,,"4/20/2018","Payment/Deposit","",,"","PLANET SUB KANSAS CITY MO","Dining:Family","Dining:Family","",,"-9.94","Discover 3128(6)",
﻿,,"4/20/2018","Payment/Deposit","",,"","McDonald's","Dining:Terry","Dining:Terry","",,"-6.86","Discover 3128(6)","DBT PURCHASE ON 09/13 @ 13:48 MCDONALD'S F11441 MCDONALD'S F114"
﻿,,"4/20/2018","Payment/Deposit","",,"","Home Depot","Fix Me","Fix Me","",,"-62.05","Discover 3128(6)",
﻿,,"4/20/2018","Payment/Deposit","",,"","Tbo Trf","Transfer:[Matt Checking 0451]","Transfer:[Matt Checking 0451]","",,"-155.00","Checking",
﻿,,"4/20/2018","Payment/Deposit","",,"","Tbo Trf","Transfer:[Checking]","Transfer:[Checking]","",,"155.00","Matt Checking 0451",
﻿,,"4/20/2018","Payment/Deposit","",,"","Kcpt Donations","Charity:Cash","Charity:Cash","",,"-19.00","Checking",
﻿,,"4/19/2018","Payment/Deposit","",,"","Home Depot","Fix Me","Fix Me","",,"-16.19","Discover 3128(6)",
﻿,,"4/19/2018","Payment/Deposit","",,"","HOBBY-LOBBY #0020 OVERLAND PARKK","Fix Me","Fix Me","",,"-80.62","Discover 3128(6)",
﻿,,"4/19/2018","Payment/Deposit","",,"","Price Chopper","Dining:Greg","Dining:Greg","",,"-5.27","Sears 9920(29)",
﻿,,"4/19/2018","Payment/Deposit","",,"","Internal Revenue Service","Tax:Fed","Tax:Fed","",,"-2,077.00","Checking",
﻿,,"4/19/2018","Payment/Deposit","",,"","KS State Tax","Tax:State","Tax:State","",,"-356.00","Checking",
﻿,,"4/19/2018","Payment/Deposit","",,"",,"Transfer:[Checking]","Transfer:[Checking]","",,"100.00","Terry Cash","ATM VILLAGE SEVILLE 13100 STATE LINE ROAD LEAWOOD KS CARD NBR: -"
﻿,,"4/19/2018","Payment/Deposit","",,"","ATM Village Seville","Transfer:[Terry Cash]","Transfer:[Terry Cash]","",,"-100.00","Checking","ATM VILLAGE SEVILLE 13100 STATE LINE ROAD LEAWOOD KS CARD NBR: -"
﻿,,"4/19/2018","Payment/Deposit","",,"","CNP*THE NEW YORKER 800-825-2510","Subscriptions","Subscriptions","",,"-89.99","Discover 3128(6)",
﻿,,"4/19/2018","Payment/Deposit","",,"","First Watch","Uncategorized","Uncategorized","",,"-9.94","Matt Checking 0451","DBT PURCHASE ON 04/19 @ 08:38 First Watch Restaurants First Watc"
﻿,,"4/19/2018","Payment/Deposit","",,"","KOHLS","Transfer:[Checking]","Transfer:[Checking]","",,"408.33","Kohls 3215(25)","payment (auto)"
﻿,,"4/19/2018","Payment/Deposit","",,"","KOHLS","Transfer:[Kohls 3215(25)]","Transfer:[Kohls 3215(25)]","",,"-408.33","Checking","payment (auto)"
﻿,,"4/18/2018","Payment/Deposit","",,"","Price Chopper","Dining:Greg","Dining:Greg","",,"-7.26","Sears 9920(29)",
﻿,,"4/18/2018","Payment/Deposit","",,"","McDonald's","Dining:Greg","Dining:Greg","",,"-1.09","Sears 9920(29)","DBT PURCHASE ON 09/13 @ 13:48 MCDONALD'S F11441 MCDONALD'S F114"
﻿,,"4/18/2018","Payment/Deposit","",,"","Amazon.com","Fix Me","Fix Me","",,"-8.99","Discover 3128(6)",
﻿,,"4/18/2018","Payment/Deposit","",,"","McDonald's","Dining:Greg","Dining:Greg","",,"-8.69","Matt Checking 0451","DBT PURCHASE ON 04/18 @ 13:13 MCDONALD'S F19725 MCDONALD'S F1972"
﻿,,"4/18/2018","Payment/Deposit","",,"","Planet Sub","Uncategorized","Uncategorized","",,"-6.63","Matt Checking 0451","DBT PURCHASE ON 04/18 @ 17:04 PLANET SUB PLANET SUB KANSAS CITY"
﻿,,"4/17/2018","Payment/Deposit","",,"","Wal-Mart","Fix Me:WalMart","Fix Me:WalMart","",,"-39.74","Discover 3128(6)",
﻿,,"4/17/2018","Payment/Deposit","",,"","Gordon Biersch","Dining:Family","Dining:Family","",,"-30.84","Sears 9920(29)","with MD"
﻿,,"4/17/2018","Payment/Deposit","",,"","LaZBoy","Transfer:[Checking]","Transfer:[Checking]","",,"257.00","LaZBoy","payment (auto)"
﻿,,"4/17/2018","Payment/Deposit","",,"","LaZBoy","Transfer:[LaZBoy]","Transfer:[LaZBoy]","",,"-257.00","Checking","payment (auto)"
﻿,,"4/17/2018","Payment/Deposit","",,"","DOLLARTREE KANSAS CITY MO","Fix Me","Fix Me","",,"-21.92","Discover 3128(6)",
﻿,,"4/17/2018","Payment/Deposit","",,"","CVS Pharmacy","Fix Me","Fix Me","",,"-9.26","Discover 3128(6)",
﻿,,"4/17/2018","Payment/Deposit","",,"","INTUIT *TURBOTAX 800-446-8848 CA","Computer:Software","Computer:Software","",,"-65.45","Discover4221(6)",
﻿,,"4/17/2018","Payment/Deposit","",,"","Freddy's Frozen Custard","Uncategorized","Uncategorized","",,"-11.98","Matt Checking 0451","DBT PURCHASE ON 04/16 @ 11:21 FREDDYS FROZEN CUSTARD FREDDYS FRO"
﻿,,"4/17/2018","Payment/Deposit","",,"","Chipotle","Uncategorized","Uncategorized","",,"-8.68","Matt Checking 0451","DBT PURCHASE ON 04/16 @ 09:14 CHIPOTLE 0776 CHIPOTLE 0776 KANSAS"
﻿,,"4/17/2018","Payment/Deposit","",,"","Dollar Tree","Uncategorized","Uncategorized","",,"-1.07","Matt Checking 0451","DBT PURCHASE ON 04/16 @ 00:35 DOLLARTREE DOLLARTREE KANSAS CITY"
﻿,,"4/17/2018","Payment/Deposit","",,"","From savings","Transfer:[Checking]","Transfer:[Checking]","",,"-5,000.00","Savings",
﻿,,"4/17/2018","Payment/Deposit","TXFR",,"","From savings","Transfer:[Savings]","Transfer:[Savings]","",,"5,000.00","Checking",
﻿,,"4/16/2018","Buy","",,"WELLS FARGO HSA FDIC INSURED NOT COVERED BY SIPC","WELLS FARGO HSA FDIC INSURED NOT COVERED BY SIPC","262.5 shares @ 1.00","Investments:Buy","","262.5","-262.50","Fidelity HSA XX5575",""
﻿,,"4/16/2018","Payment/Deposit","",,"","Price Chopper","Dining:Greg","Dining:Greg","",,"-6.42","Sears 9920(29)",
﻿,,"4/16/2018","Payment/Deposit","",,"","QT","Auto:Fuel","Auto:Fuel","",,"-20.00","Matt Checking 0451","DBT PURCHASE ON 04/15 @ 17:49 QT 243 02002434 QT 243 02002434 OV"
﻿,,"4/16/2018","Payment/Deposit","",,"","Zaxby's","Uncategorized","Uncategorized","",,"-13.07","Matt Checking 0451","DBT PURCHASE ON 04/15 @ 09:45 ZAXBY'S #61101 ZAXBY'S #61101 OVER"
﻿,,"4/16/2018","Payment/Deposit","",,"","Cosentinos Market Cosentinos","Groceries","Groceries","",,"-3.29","Matt Checking 0451","DBT PURCHASE ON 04/15 @ 06:08 COSENTINOS MARKET 4 COSENTINOS MAR"
﻿,,"4/16/2018","Payment/Deposit","",,"","Dean & Deluca","Uncategorized","Uncategorized","",,"-2.73","Matt Checking 0451","DBT PURCHASE ON 04/15 @ 02:36 DEAN & DELUCA #13006 DEAN & DELUCA"
﻿,,"4/16/2018","Payment/Deposit","",,"","SEARS WARRANTY 855-256-2467 FL","Insurance","Insurance","",,"-49.99","Discover 3128(6)",
﻿,,"4/16/2018","Payment/Deposit","",,"","FREDDYS FROZEN CUSTARD O OVERLAN","Dining:Family","Dining:Family","",,"-9.03","Discover 3128(6)",
﻿,,"4/15/2018","Payment/Deposit","",,"","Applebees","Dining:Family","Dining:Family","",,"-33.32","Sears 9920(29)",
﻿,,"4/15/2018","Payment/Deposit","",,"","Wal-Mart","Fix Me:WalMart","Fix Me:WalMart","",,"-62.69","Discover 3128(6)",
﻿,,"4/15/2018","Payment/Deposit","",,"","QT","Auto:Fuel","Auto:Fuel","",,"-54.30","Matt Checking 0451","DBT PURCHASE ON 04/14 @ 07:41 QT WIRELESS CONNECTIONS QT WIRELES"
﻿,,"4/15/2018","Payment/Deposit","",,"","Chipotle","Uncategorized","Uncategorized","",,"-8.68","Matt Checking 0451","DBT PURCHASE ON 04/14 @ 21:30 CHIPOTLE 0776 CHIPOTLE 0776 KANSAS"
﻿,,"4/15/2018","Payment/Deposit","",,"","Bp","Uncategorized","Uncategorized","",,"-6.24","Matt Checking 0451","DBT PURCHASE ON 04/15 @ 06:09 BP#9497686KC PRIME DBA BP#9497686K"
﻿,,"4/15/2018","Payment/Deposit","",,"","Phillips 66","Auto:Fuel","Auto:Fuel","",,"-5.99","Matt Checking 0451","DBT PURCHASE ON 04/15 @ 12:42 PHILLIPS 66 - MIDWEST F PHILLIPS 6"
﻿,,"4/15/2018","Payment/Deposit","",,"","Amazon.com","Fix Me","Fix Me","",,"-30.20","Discover 3128(6)",
﻿,,"4/15/2018","Payment/Deposit","EFT",,"","Water District #1","Utilities:Water","Utilities:Water","",,"-61.96","Checking",
﻿,,"4/14/2018","Payment/Deposit","",,"","Amazon","Shopping","Shopping","",,"-13.50","Discover 3128(6)",
﻿,,"4/14/2018","Payment/Deposit","",,"","Price Chopper","Dining:Greg","Dining:Greg","",,"-5.46","Sears 9920(29)",
﻿,,"4/14/2018","Payment/Deposit","",,"","Taqueria","Dining:Greg","Dining:Greg","",,"-29.20","Sears 9920(29)",
﻿,,"4/14/2018","Payment/Deposit","",,"","QT","Auto:Fuel","Auto:Fuel","",,"-4.00","Matt Checking 0451","DBT PURCHASE ON 04/13 @ 13:41 QT WIRELESS CONNECTIONS QT WIRELES"
﻿,,"4/14/2018","Payment/Deposit","",,"","Amazon.com","Fix Me","Fix Me","",,"-46.91","Discover4221(6)",
﻿,,"4/14/2018","Payment/Deposit","",,"","Amazon.com","Fix Me","Fix Me","",,"-13.50","Discover 3128(6)",
﻿,,"4/14/2018","Payment/Deposit","",,"","Transfer Money","Transfer:[Checking]","Transfer:[Checking]","",,"160.00","Matt Checking 0451","Electronic Transfer"
﻿,,"4/14/2018","Payment/Deposit","TXFR",,"","Transfer Money","Transfer:[Matt Checking 0451]","Transfer:[Matt Checking 0451]","",,"-160.00","Checking","Electronic Transfer"
﻿,,"4/13/2018","Payment/Deposit","",,"","Hellofresh Cityny","Food & Dining:Groceries","Food & Dining:Groceries","",,"-59.94","Discover 3128(6)",
﻿,,"4/13/2018","Buy","",,"Vanguard LT TREASURY ADM","Vanguard LT TREASURY ADM","14.373 shares @ 11.799903","Investments:Buy","","14.373","-169.60","IBM 401k Fidelity","CONTRIBUTION;VANG LT TREASURY ADM OQAX;as of 04/13/2018"
﻿,,"4/13/2018","Buy","",,"Stable Value","Stable Value","25.532 shares @ 6.642645","Investments:Buy","","25.532","-169.60","IBM 401k Fidelity","CONTRIBUTION;INTEREST INCOME FUND OJFA;as of 04/13/2018"
﻿,,"4/13/2018","Payment/Deposit","",,"","Purchases","Fix Me","Fix Me","",,"-41.99","Kohls 3215(25)",
﻿,,"4/13/2018","Payment/Deposit","",,"","QT","Auto:Fuel","Auto:Fuel","",,"-5.42","Matt Checking 0451","DBT PURCHASE ON 04/12 @ 13:41 QT WIRELESS CONNECTIONS QT WIRELES"
﻿,,"4/13/2018","Payment/Deposit","",,"","Dos De Oros Taqueria","Uncategorized","Uncategorized","",,"-1.87","Matt Checking 0451","DBT PURCHASE ON 04/12 @ 00:24 DOS DE OROS TAQUERIA DOS DE OROS T"
﻿,,"4/13/2018","Payment/Deposit","",,"","IBM Paycheck","Transfer:[Savings]","Transfer:[Savings]","",,"262.50","Fidelity HSA XX5575","Medical savings plan"
﻿,,"4/13/2018","Payment/Deposit","",,"","IBM Paycheck","Transfer:[Savings]","Transfer:[Savings]","",,"339.20","IBM 401k Fidelity","contribution"
﻿,"S","4/13/2018","Payment/Deposit","Deposit",,"","IBM Paycheck","Salary","Salary","",,"5,653.25","Savings","Gross pay"
﻿,"S","4/13/2018","Payment/Deposit","Deposit",,"","IBM Paycheck","Salary","Salary","",,"78.54","Savings","Life Insurance (implied)"
﻿,"S","4/13/2018","Payment/Deposit","Deposit",,"","IBM Paycheck","Tax:Medicare","Tax:Medicare","",,"-77.39","Savings","Paycheck"
﻿,"S","4/13/2018","Payment/Deposit","Deposit",,"","IBM Paycheck","Tax:Soc Sec","Tax:Soc Sec","",,"-330.90","Savings","Paycheck"
﻿,"S","4/13/2018","Payment/Deposit","Deposit",,"","IBM Paycheck","Tax:Fed","Tax:Fed","",,"-427.03","Savings","Paycheck"
﻿,"S","4/13/2018","Payment/Deposit","Deposit",,"","IBM Paycheck","Tax:Kansas","Tax:Kansas","",,"-202.22","Savings","Paycheck"
﻿,"S","4/13/2018","Payment/Deposit","Deposit",,"","IBM Paycheck","Transfer:[IBM 401k Fidelity]","Transfer:[IBM 401k Fidelity]","",,"-339.20","Savings","contribution"
﻿,"S","4/13/2018","Payment/Deposit","Deposit",,"","IBM Paycheck","Insurance:Medical","Insurance:Medical","",,"-132.22","Savings","Health care (medical + dental)"
﻿,"S","4/13/2018","Payment/Deposit","Deposit",,"","IBM Paycheck","Transfer:[Fidelity HSA XX5575]","Transfer:[Fidelity HSA XX5575]","",,"-262.50","Savings","Medical savings plan"
﻿,"S","4/13/2018","Payment/Deposit","Deposit",,"","IBM Paycheck","Insurance:Life","Insurance:Life","",,"-79.72","Savings","Life Insurance"
﻿,"S","4/13/2018","Payment/Deposit","Deposit",,"","IBM Paycheck","Insurance:Life","Insurance:Life","",,"-78.54","Savings","LIfe Insurance (implied)"
﻿,"S","4/13/2018","Payment/Deposit","Deposit",,"","IBM Paycheck","Uncategorized","Uncategorized","",,"0.01","Savings","Paycheck"
﻿,,"4/13/2018","Payment/Deposit","Deposit",,"","IBM Match","Misc Inc","Misc Inc","",,"450.00","Deferred 401k Match","IBM Match"
﻿,,"4/13/2018","Payment/Deposit","",,"","Price Chopper","Dining:Greg","Dining:Greg","",,"-4.20","Discover4221(6)",
﻿,,"4/13/2018","Payment/Deposit","",,"","Wal-Mart","Fix Me:WalMart","Fix Me:WalMart","",,"140.53","Discover 3128(6)",
﻿,,"4/13/2018","Payment/Deposit","",,"","Wal-Mart","Fix Me:WalMart","Fix Me:WalMart","",,"-42.16","Discover 3128(6)",
﻿,,"4/13/2018","Payment/Deposit","",,"","SUBURBAN LAWN AND GARDEN KANSAS","Household:Landscape","Household:Landscape","",,"-36.16","Discover 3128(6)",
﻿,,"4/13/2018","Payment/Deposit","",,"","McDonald's","Dining:Terry","Dining:Terry","",,"-6.85","Discover 3128(6)","DBT PURCHASE ON 09/13 @ 13:48 MCDONALD'S F11441 MCDONALD'S F114"
﻿,,"4/13/2018","Payment/Deposit","",,"","Hen House","Groceries","Groceries","",,"-31.49","Discover 3128(6)",
﻿,,"4/13/2018","Payment/Deposit","",,"","HELLOFRESH NEW YORK CITYNY","Groceries","Groceries","",,"-59.94","Discover 3128(6)",
﻿,,"4/13/2018","Payment/Deposit","",,"","Big Lots","Fix Me","Fix Me","",,"-3.96","Discover 3128(6)",
﻿,,"4/13/2018","Payment/Deposit","",,"","Google FIber","Utilities:Cable TV","Utilities:Cable TV","",,"-172.61","Discover 3128(6)",
﻿,,"4/12/2018","Payment/Deposit","",,"","Grass Pad","Household:Landscape","Household:Landscape","",,"-6.49","Sears 9920(29)",
﻿,,"4/12/2018","Payment/Deposit","",,"","QT","Auto:Fuel","Auto:Fuel","",,"-9.82","Matt Checking 0451","DBT PURCHASE ON 04/11 @ 02:57 QT 222 02002228 QT 222 02002228 KA"
﻿,,"4/12/2018","Payment/Deposit","",,"","McDonald's","Dining:Greg","Dining:Greg","",,"-7.29","Matt Checking 0451","DBT PURCHASE ON 04/11 @ 09:32 MCDONALD'S F25248 MCDONALD'S F2524"
﻿,,"4/12/2018","Payment/Deposit","",,"","QT","Auto:Fuel","Auto:Fuel","",,"-5.43","Matt Checking 0451","DBT PURCHASE ON 04/11 @ 18:11 QT 203 02002038 QT 203 02002038 ST"
﻿,,"4/12/2018","Payment/Deposit","",,"","GRASS PAD STILWELL BUCYRUS","Household:Landscape","Household:Landscape","",,"-60.08","Costco Visa 5455","DIETRICH,TERRY J"
﻿,,"4/12/2018","Payment/Deposit","",,"","Price Chopper","Dining:Greg","Dining:Greg","",,"-5.65","Discover4221(6)",
﻿,,"4/12/2018","Payment/Deposit","",,"","Wal-Mart","Fix Me:WalMart","Fix Me:WalMart","",,"-8.59","Discover 3128(6)",
﻿,,"4/12/2018","Payment/Deposit","",,"","Home Depot","Fix Me","Fix Me","",,"-47.94","Discover 3128(6)",
﻿,,"4/12/2018","Payment/Deposit","",,"","Discover 0956","Transfer:[Checking]","Transfer:[Checking]","",,"32.81","Discover 0956(17)","payment"
﻿,,"4/12/2018","Payment/Deposit","",,"","Discover 0956","Transfer:[Discover 0956(17)]","Transfer:[Discover 0956(17)]","",,"-32.81","Checking","payment"
﻿,,"4/11/2018","Sell","",,"WELLS FARGO HSA FDIC INSURED NOT COVERED BY SIPC","WELLS FARGO HSA FDIC INSURED NOT COVERED BY SIPC","70 shares @ 1.00","Investments:Sell","","-70","70.00","Fidelity HSA XX5575",""
﻿,,"4/11/2018","Payment/Deposit","",,"","QT","Auto:Fuel","Auto:Fuel","",,"-32.12","Matt Checking 0451","DBT PURCHASE ON 04/10 @ 12:55 QT 176 02001766 QT 176 02001766 KA"
﻿,,"4/11/2018","Payment/Deposit","",,"","Starbucks","Uncategorized","Uncategorized","",,"-6.22","Matt Checking 0451","DBT PURCHASE ON 04/10 @ 10:40 STARBUCKS STORE 10740 STARBUCKS ST"
﻿,,"4/11/2018","Payment/Deposit","",,"","Phillips 66","Auto:Fuel","Auto:Fuel","",,"-5.50","Matt Checking 0451","DBT PURCHASE ON 04/11 @ 04:44 PHILLIPS 66 - MARTIN CI PHILLIPS 6"
﻿,,"4/11/2018","Payment/Deposit","",,"","QT","Auto:Fuel","Auto:Fuel","",,"-1.36","Matt Checking 0451","DBT PURCHASE ON 04/10 @ 12:55 QT 176 02001766 QT 176 02001766 KA"
﻿,,"4/11/2018","Payment/Deposit","",,"","NORMAL DISTR PARTIAL RELIABLE ME","Uncategorized","Uncategorized","",,"-70.00","Fidelity HSA XX5575","NORMAL DISTR PARTIAL RELIABLE MEDICAL SUPPL  913-722-2960  KS"
﻿,,"4/11/2018","Payment/Deposit","",,"","DON PERDUE AUTOMOTIVE KANSAS CIT","Auto:Repair","Auto:Repair","",,"-513.45","Discover4221(6)","Accord fuel pump"
﻿,,"4/11/2018","Payment/Deposit","",,"","Price Chopper","Dining:Greg","Dining:Greg","",,"-6.73","Discover4221(6)",
﻿,,"4/11/2018","Payment/Deposit","",,"","PAYPAL *TEAMGREENLA 402-935-7733","Household:Landscape","Household:Landscape","",,"-60.00","Discover 3128(6)",
﻿,,"4/11/2018","Payment/Deposit","",,"","BLAIR 800-458-6057 MA","Fix Me","Fix Me","",,"-9.99","Discover 3128(6)",
﻿,,"4/11/2018","Payment/Deposit","",,"","Amazon.com","Fix Me","Fix Me","",,"-35.20","Discover 3128(6)",
﻿,,"4/11/2018","Payment/Deposit","Check","4632","","Crossroads","Charity:Cash","Charity:Cash","",,"-25.00","Checking","casino night"
﻿,,"4/11/2018","Payment/Deposit","Check","4636","","Crossroads","Fix Me","Fix Me","",,"-15.00","Checking","casino night"
﻿,,"4/11/2018","Payment/Deposit","",,"","Loan Nissan Leaf","Transfer:[Checking]","Transfer:[Checking]","",,"0.00","Loan Nissan Leaf",
﻿,,"4/11/2018","Payment/Deposit","",,"","Loan Nissan Leaf","Transfer:[Checking]","Transfer:[Checking]","",,"635.03","Loan Nissan Leaf",
﻿,"S","4/11/2018","Payment/Deposit","Sched",,"","Loan Nissan Leaf","Transfer:[Loan Nissan Leaf]","Transfer:[Loan Nissan Leaf]","",,"-635.03","Checking",
﻿,"S","4/11/2018","Payment/Deposit","Sched",,"","Loan Nissan Leaf","Auto & Transport:Auto Payment:Interest","Auto & Transport:Auto Payment:Interest","",,"-2.86","Checking",
﻿,"S","4/11/2018","Payment/Deposit","Sched",,"","Loan Nissan Leaf","Transfer:[Loan Nissan Leaf]","Transfer:[Loan Nissan Leaf]","",,"0.00","Checking",
﻿,"S","4/11/2018","Payment/Deposit","Sched",,"","Loan Nissan Leaf","Auto & Transport:Auto Payment","Auto & Transport:Auto Payment","",,"0.00","Checking",
﻿,,"4/10/2018","Payment/Deposit","",,"","Wal-Mart","Shopping","Shopping","",,"-4.31","Discover 3128(6)",
﻿,,"4/10/2018","Payment/Deposit","",,"","Purchases","Computer:Accessories","Computer:Accessories","",,"-6.64","Apple Rewards 2672(3)","DVI adapter"
﻿,,"4/10/2018","Payment/Deposit","",,"","iTunes","Uncategorized","Uncategorized","",,"-9.99","Matt Checking 0451","DBT PURCHASE ON 04/10 @ 10:07 APL* ITUNES.COM/BILL APL* ITUNES.C"
﻿,,"4/10/2018","Payment/Deposit","",,"","Smokes 4 Less","Uncategorized","Uncategorized","",,"-5.81","Matt Checking 0451","DBT PURCHASE ON 04/10 @ 11:25 SMOKES 4 LESS 5 SMOKES 4 LESS 5 CL"
﻿,,"4/10/2018","Payment/Deposit","",,"","Casey's","Groceries","Groceries","",,"-4.14","Matt Checking 0451","DBT PURCHASE ON 04/08 @ 19:21 CASEYS GEN STORE 2840 CASEYS GEN S"
﻿,,"4/10/2018","Payment/Deposit","",,"","Starbucks","Uncategorized","Uncategorized","",,"-3.76","Matt Checking 0451","DBT PURCHASE ON 04/09 @ 21:34 STARBUCKS STORE 10740 STARBUCKS ST"
﻿,,"4/10/2018","Payment/Deposit","",,"","Phillips 66","Auto:Fuel","Auto:Fuel","",,"-2.17","Matt Checking 0451","DBT PURCHASE ON 04/10 @ 19:30 PHILLIPS 66 - MARTIN CI PHILLIPS 6"
﻿,,"4/10/2018","Payment/Deposit","",,"","KUM & GO #571 MOUNT V","Auto:Fuel","Auto:Fuel","",,"-40.45","Costco Visa 5455","DIETRICH,TERRY J"
﻿,,"4/10/2018","Payment/Deposit","",,"","LEVELUP*PLANETSUB40451 855-466-5","Dining:Greg","Dining:Greg","",,"-2.52","Discover4221(6)",
﻿,,"4/10/2018","Payment/Deposit","",,"","Wal-Mart","Fix Me:WalMart","Fix Me:WalMart","",,"-4.31","Discover 3128(6)",
﻿,,"4/10/2018","Payment/Deposit","",,"","VILLAGE INN #700915 REPUBLIC MO","Dining:Terry","Dining:Terry","",,"-9.94","Discover 3128(6)",
﻿,,"4/10/2018","Payment/Deposit","",,"","KUM & GO #571 MOUNT VERNON MO","Fix Me","Fix Me","",,"-6.56","Discover 3128(6)",
﻿,,"4/9/2018","Payment/Deposit","",,"","Price Chopper","Dining:Greg","Dining:Greg","",,"-6.57","Sears 9920(29)",
﻿,,"4/9/2018","Payment/Deposit","",,"","Phillips 66","Auto:Fuel","Auto:Fuel","",,"-6.20","Matt Checking 0451","DBT PURCHASE ON 04/09 @ 03:12 PHILLIPS 66 - MARTIN CI PHILLIPS 6"
﻿,,"4/9/2018","Payment/Deposit","",,"","Phillips 66","Auto:Fuel","Auto:Fuel","",,"-3.91","Matt Checking 0451","DBT PURCHASE ON 04/09 @ 03:12 PHILLIPS 66 - MARTIN CI PHILLIPS 6"
﻿,,"4/9/2018","Payment/Deposit","",,"","Hy Vee","Groceries","Groceries","",,"-3.28","Matt Checking 0451","DBT PURCHASE ON 04/08 @ 08:43 HY VEE GAS 5560 HY VEE GAS 5560 SH"
﻿,,"4/9/2018","Payment/Deposit","",,"","Wal-Mart","Household","Household","",,"-4.75","Discover4221(6)","batteries"
﻿,,"4/8/2018","Payment/Deposit","",,"","Murfins","Groceries","Groceries","",,"-24.15","Sears 9920(29)",
﻿,,"4/8/2018","Payment/Deposit","",,"","Burning Spider Stoke","Uncategorized","Uncategorized","",,"-113.46","Matt Checking 0451","DBT PURCHASE ON 04/06 @ 23:29 BURNING SPIDER STOKE CO BURNING SP"
﻿,,"4/8/2018","Payment/Deposit","",,"","Raising Canes","Uncategorized","Uncategorized","",,"-6.15","Matt Checking 0451","DBT PURCHASE ON 04/05 @ 02:20 RAISING CANE'S #221 RAISING CANE'S"
﻿,,"4/8/2018","Payment/Deposit","",,"","Hardee's","Uncategorized","Uncategorized","",,"-5.41","Matt Checking 0451","DBT PURCHASE ON 04/07 @ 16:15 HARDEES 347 HARDEES 347 BOONVILLE"
﻿,,"4/8/2018","Payment/Deposit","",,"","QT","Auto:Fuel","Auto:Fuel","",,"-4.71","Matt Checking 0451","DBT PURCHASE ON 04/08 @ 11:26 QT 655 06006555 QT 655 06006555 EU"
﻿,,"4/8/2018","Payment/Deposit","",,"","MURFIN'S MKT-WILLAR WILLARD","Groceries","Groceries","",,"-10.52","Costco Visa 5455","DIETRICH,TERRY J"
﻿,,"4/8/2018","Payment/Deposit","",,"","Hen House","Dining:Greg","Dining:Greg","",,"-15.25","Discover4221(6)",
﻿,,"4/8/2018","Payment/Deposit","",,"","DOLLAR-GENERAL #2901 WILLARD MO","Fix Me","Fix Me","",,"-20.56","Discover 3128(6)",
﻿,,"4/7/2018","Payment/Deposit","",,"","Price Chopper","Groceries","Groceries","",,"-22.17","Sears 9920(29)",
