All Transactions Report Created: 2018-08-15 22:58:52 -0500
,
﻿Filter Criteria:,All Dates
,All Accounts
,Any Status
,Selected Transactions
,
﻿,"Split","Date","Type","Action","Check #","Security","Payee","Description","Category","Comm/Fee","Shares","Amount","Account","Memo/Notes"
﻿,,"10/21/2017","Payment/Deposit","",,"","Chick-fil-a","Dining:Family","Dining:Family","",,"-16.06","Discover4221(6)",
﻿,,"10/21/2017","Payment/Deposit","",,"","Tbo Trf","Transfer:[Matt Checking 0451]","Transfer:[Matt Checking 0451]","",,"-110.00","Checking",
﻿,,"10/21/2017","Payment/Deposit","",,"","Tbo Trf","Transfer:[Checking]","Transfer:[Checking]","",,"110.00","Matt Checking 0451",
﻿,,"10/21/2017","Payment/Deposit","",,"","ATM Village Seville","Uncategorized","Uncategorized","",,"-100.00","Matt Checking 0451","ATM VILLAGE SEVILLE 13100 STATE LINE ROAD LEAWOOD KS CARD NBR: -"
﻿,,"10/21/2017","Payment/Deposit","",,"","QT","Auto:Fuel","Auto:Fuel","",,"-32.53","Matt Checking 0451","DBT PURCHASE ON 10/20 @ 06:57 QT WIRELESS CONNECTIONS QT WIRELES"
﻿,,"10/21/2017","Payment/Deposit","",,"","Dos De Oros Taqueria","Uncategorized","Uncategorized","",,"-10.48","Matt Checking 0451","DBT PURCHASE ON 10/20 @ 02:36 DOS DE OROS TAQUERIA DOS DE OROS T"
﻿,,"10/21/2017","Payment/Deposit","",,"","Tbo Trf","Transfer:[Matt Checking 0451]","Transfer:[Matt Checking 0451]","",,"-10.00","Checking",
﻿,,"10/21/2017","Payment/Deposit","",,"","Tbo Trf","Transfer:[Checking]","Transfer:[Checking]","",,"10.00","Matt Checking 0451",
﻿,,"10/21/2017","Payment/Deposit","",,"","Kohinoor Kohinoor Nbr","Uncategorized","Uncategorized","",,"-7.04","Matt Checking 0451","DBT PURCHASE ON 10/20 @ 10:31 KOHINOOR 07067002 KOHINOOR 0706700"
﻿,,"10/21/2017","Payment/Deposit","",,"","Starbucks","Uncategorized","Uncategorized","",,"-1.87","Matt Checking 0451","DBT PURCHASE ON 10/20 @ 09:31 STARBUCKS STORE 10740 STARBUCKS ST"
﻿,,"10/21/2017","Payment/Deposit","",,"","QT","Auto:Fuel","Auto:Fuel","",,"-1.15","Matt Checking 0451","DBT PURCHASE ON 10/20 @ 16:16 QT 178 02001782 QT 178 02001782 KA"
﻿,,"10/20/2017","Payment/Deposit","",,"","Tbo Trf","Fix Me","Fix Me","",,"-15.00","Checking",
﻿,,"10/20/2017","Payment/Deposit","",,"","ADVANCE AUTO PARTS #5998 SHAWNEE","Fix Me","Fix Me","",,"10.95","Discover 3128(6)",
﻿,,"10/20/2017","Payment/Deposit","",,"","Lowe's","Fix Me","Fix Me","",,"8.30","Discover 3128(6)","DBT PURCHASE ON 08/12 @ 05:56 LOWES #01623* LOWES #01623* KANSA"
﻿,,"10/20/2017","Payment/Deposit","",,"","STEAK N SHAKE 4104 OLATHE KS","Dining:Greg","Dining:Greg","",,"-6.56","Discover4221(6)",
﻿,,"10/20/2017","Payment/Deposit","",,"","Team Green Lawn","Uncategorized","Uncategorized","",,"517.16","Matt Checking 0451",
﻿,,"10/20/2017","Payment/Deposit","",,"","Tbo Trf","Uncategorized","Uncategorized","",,"15.00","Matt Checking 0451",
﻿,,"10/20/2017","Payment/Deposit","",,"","K C Smoke & Vape","Uncategorized","Uncategorized","",,"-10.86","Matt Checking 0451","DBT PURCHASE ON 10/19 @ 05:48 IN *KC SMOKE & VAPE IN *KC SMOKE &"
﻿,,"10/20/2017","Payment/Deposit","",,"","Wal-Mart","Fix Me:WalMart","Fix Me:WalMart","",,"-10.75","Matt Checking 0451","DBT PURCHASE ON 10/20 @ 21:34 WM SUPERCENTER # Wal-Mart Store OV"
﻿,,"10/20/2017","Payment/Deposit","",,"","McDonald's","Dining:Greg","Dining:Greg","",,"-6.66","Matt Checking 0451","DBT PURCHASE ON 10/19 @ 17:00 MCDONALD'S F10823 MCDONALD'S F1082"
﻿,,"10/20/2017","Payment/Deposit","",,"","Metcalf Discount Liquor 3","Uncategorized","Uncategorized","",,"-2.57","Matt Checking 0451","DBT PURCHASE ON 10/19 @ 06:17 METCALF DISCOUNT LIQUOR METCALF DI"
﻿,,"10/20/2017","Payment/Deposit","",,"","Metcalf Discount Liquor 3","Uncategorized","Uncategorized","",,"-0.93","Matt Checking 0451","DBT PURCHASE ON 10/19 @ 06:17 METCALF DISCOUNT LIQUOR METCALF DI"
﻿,,"10/20/2017","Payment/Deposit","",,"","Transfer Money","Transfer:[Matt Checking 0451]","Transfer:[Matt Checking 0451]","",,"475.00","Checking","Electronic Transfer"
﻿,,"10/20/2017","Payment/Deposit","OXfr",,"","Transfer Money","Transfer:[Checking]","Transfer:[Checking]","",,"-475.00","Matt Checking 0451","Electronic Transfer"
﻿,,"10/20/2017","Payment/Deposit","",,"","Kcpt Donations","Charity:Cash","Charity:Cash","",,"-19.00","Checking",
﻿,,"10/19/2017","Payment/Deposit","",,"","Wal-Mart","Fix Me:WalMart","Fix Me:WalMart","",,"-138.53","Discover 3128(6)",
﻿,,"10/19/2017","Payment/Deposit","",,"","SQ *ALWAYS CHIC SALON RAYMORE MO","Personal","Personal","",,"-102.00","Discover 3128(6)","TD"
﻿,,"10/19/2017","Payment/Deposit","",,"","Wendy's","Dining:Family","Dining:Family","",,"-6.34","Discover 3128(6)",
﻿,,"10/19/2017","Payment/Deposit","",,"","McDonald's","Dining:Greg","Dining:Greg","",,"-5.02","Discover4221(6)","DBT PURCHASE ON 09/13 @ 13:48 MCDONALD'S F11441 MCDONALD'S F114"
﻿,,"10/19/2017","Payment/Deposit","",,"","K C Smoke & Vape","Uncategorized","Uncategorized","",,"-43.44","Matt Checking 0451","DBT PURCHASE ON 10/17 @ 20:23 IN *KC SMOKE & VAPE IN *KC SMOKE &"
﻿,,"10/19/2017","Payment/Deposit","",,"","Wal-Mart","Fix Me:WalMart","Fix Me:WalMart","",,"-5.99","Matt Checking 0451","DBT PURCHASE ON 10/18 @ 00:06 WAL-MART #2955 WAL-MART #2955 KANS"
﻿,,"10/19/2017","Payment/Deposit","",,"","Hy Vee","Groceries","Groceries","",,"-1.41","Matt Checking 0451","DBT PURCHASE ON 10/19 @ 12:34 HY VEE GAS 5560 HY VEE GAS 5560 SH"
﻿,,"10/19/2017","Payment/Deposit","",,"","KOHLS","Transfer:[Checking]","Transfer:[Checking]","",,"271.19","Kohls 3215(25)","payment (auto)"
﻿,,"10/19/2017","Payment/Deposit","",,"","KOHLS","Transfer:[Kohls 3215(25)]","Transfer:[Kohls 3215(25)]","",,"-271.19","Checking","payment (auto)"
﻿,,"10/18/2017","Payment/Deposit","",,"","Undo Payment","Fix Me","Fix Me","",,"-257.00","LaZBoy","failed"
﻿,,"10/18/2017","Payment/Deposit","",,"","Payment","Fix Me","Fix Me","",,"257.00","LaZBoy","failed"
﻿,,"10/18/2017","Payment/Deposit","",,"","Late Fee","Bank Charge","Bank Charge","",,"-27.00","LaZBoy",
﻿,,"10/18/2017","Payment/Deposit","",,"","Purchases","Fix Me","Fix Me","",,"-46.02","Kohls 3215(25)",
﻿,,"10/18/2017","Payment/Deposit","",,"","Wal-Mart","Fix Me:WalMart","Fix Me:WalMart","",,"-36.92","Discover 3128(6)",
﻿,,"10/18/2017","Payment/Deposit","",,"","Wal-Mart","Fix Me:WalMart","Fix Me:WalMart","",,"-28.47","Discover 3128(6)",
﻿,,"10/18/2017","Payment/Deposit","",,"","McDonald's","Dining","Dining","",,"-9.96","Discover 3128(6)","DBT PURCHASE ON 09/13 @ 13:48 MCDONALD'S F11441 MCDONALD'S F114"
﻿,,"10/18/2017","Payment/Deposit","",,"","DURRIE VISION - EMV OVERLAND PAR","Medical:Doctor","Medical:Doctor","",,"-225.00","Discover4221(6)","GD eye exam"
﻿,,"10/18/2017","Payment/Deposit","",,"","TALK OF THE TOWN GRILL & OVERLAN","Dining:Family","Dining:Family","",,"-20.82","Discover4221(6)","matt"
﻿,,"10/18/2017","Payment/Deposit","",,"","SANFORD PROFILE 11082 OLATHE KS","Groceries","Groceries","",,"-122.00","Discover 3128(6)",
﻿,,"10/18/2017","Payment/Deposit","",,"","Target","Fix Me","Fix Me","",,"-90.91","Discover 3128(6)","DBT PURCHASE ON 09/14 @ 16:56 TARGET 00017574 TARGET 00017574 O"
﻿,,"10/18/2017","Payment/Deposit","",,"","Amazon.com","Fix Me","Fix Me","",,"-8.99","Discover 3128(6)",
﻿,,"10/18/2017","Payment/Deposit","",,"","QT","Auto:Fuel","Auto:Fuel","",,"-8.17","Matt Checking 0451","DBT PURCHASE ON 10/18 @ 06:21 QT 194 02001949 QT 194 02001949 MI"
﻿,,"10/18/2017","Payment/Deposit","",,"","Wal-Mart","Fix Me:WalMart","Fix Me:WalMart","",,"-5.31","Matt Checking 0451","DBT PURCHASE ON 10/18 @ 00:07 WM SUPERCENTER # Wal-Mart Super Ce"
﻿,,"10/18/2017","Payment/Deposit","",,"","QT","Auto:Fuel","Auto:Fuel","",,"-1.84","Matt Checking 0451","DBT PURCHASE ON 10/17 @ 09:08 QT 157 02001576 QT 157 02001576 OV"
﻿,,"10/18/2017","Payment/Deposit","",,"","Hy Vee","Groceries","Groceries","",,"-1.09","Matt Checking 0451","DBT PURCHASE ON 10/18 @ 21:07 HY VEE GAS 5560 HY VEE GAS 5560 SH"
﻿,,"10/17/2017","Payment/Deposit","",,"","Purchases","Fix Me","Fix Me","",,"-209.52","Kohls 3215(25)",
﻿,,"10/17/2017","Payment/Deposit","",,"","Returns","Fix Me","Fix Me","",,"31.00","Kohls 3215(25)",
﻿,,"10/17/2017","Payment/Deposit","",,"","Hy Vee","Auto:Fuel","Auto:Fuel","",,"-30.90","Sears 9920(29)","odyssey"
﻿,,"10/17/2017","Payment/Deposit","",,"","Wal-Mart","Fix Me:WalMart","Fix Me:WalMart","",,"-37.17","Discover 3128(6)",
﻿,,"10/17/2017","Payment/Deposit","",,"","Home Depot","Fix Me","Fix Me","",,"-22.57","Discover 3128(6)",
﻿,,"10/17/2017","Payment/Deposit","",,"","ZAXBY'S #61102 OLATHE KS","Dining:Greg","Dining:Greg","",,"-6.56","Discover4221(6)",
﻿,,"10/17/2017","Payment/Deposit","",,"","QT","Auto:Fuel","Auto:Fuel","",,"-16.27","Matt Checking 0451","DBT PURCHASE ON 10/16 @ 03:18 QT WIRELESS CONNECTIONS QT WIRELES"
﻿,,"10/17/2017","Payment/Deposit","",,"","K C Smoke & Vape","Uncategorized","Uncategorized","",,"-11.94","Matt Checking 0451","DBT PURCHASE ON 10/16 @ 23:52 IN *KC SMOKE & VAPE IN *KC SMOKE &"
﻿,,"10/17/2017","Payment/Deposit","",,"","Phillips 66","Auto:Fuel","Auto:Fuel","",,"-6.59","Matt Checking 0451","DBT PURCHASE ON 10/17 @ 16:18 PHILLIPS 66 - KHAN PETR PHILLIPS 6"
﻿,,"10/17/2017","Payment/Deposit","",,"","QT","Auto:Fuel","Auto:Fuel","",,"-5.77","Matt Checking 0451","DBT PURCHASE ON 10/17 @ 22:59 QT 176 02001766 QT 176 02001766 KA"
﻿,,"10/17/2017","Payment/Deposit","",,"","Hardee's","Uncategorized","Uncategorized","",,"-5.65","Matt Checking 0451","DBT PURCHASE ON 10/16 @ 23:51 HARDEES 1506261 HARDEES 1506261 GR"
﻿,,"10/17/2017","Payment/Deposit","",,"","Shell","Uncategorized","Uncategorized","",,"-2.63","Matt Checking 0451","DBT PURCHASE ON 10/16 @ 19:07 SHELL OIL 10005618003 SHELL OIL 10"
﻿,,"10/17/2017","Payment/Deposit","",,"","LaZBoy","Fix Me","Fix Me","",,"0.00","LaZBoy","failed payment (auto)"
﻿,,"10/16/2017","Sell","",,"WELLS FARGO HSA FDIC INSURED NOT COVERED BY SIPC","WELLS FARGO HSA FDIC INSURED NOT COVERED BY SIPC","454.85 shares @ 1.00","Investments:Sell","","-454.85","454.85","Fidelity HSA XX5575",""
﻿,,"10/16/2017","Payment/Deposit","",,"","Gordon Biersch","Dining:Family","Dining:Family","",,"-112.15","Sears 9920(29)","minners"
﻿,,"10/16/2017","Payment/Deposit","",,"","SEARS WARRANTY 855-256-2467 FL","Household:Appliances","Household:Appliances","",,"-49.99","Discover 3128(6)",
﻿,,"10/16/2017","Payment/Deposit","",,"","JOES KC BAR B QUE OF OLA OLATHE","Dining:Greg","Dining:Greg","",,"-14.82","Discover4221(6)",
﻿,,"10/16/2017","Payment/Deposit","",,"","Phillips 66","Auto:Fuel","Auto:Fuel","",,"-4.31","Matt Checking 0451","DBT PURCHASE ON 10/16 @ 03:19 PHILLIPS 66 - RUSH HOUR PHILLIPS 6"
﻿,,"10/16/2017","Payment/Deposit","",,"","General Nutrition Centers","Groceries","Groceries","",,"-3.19","Matt Checking 0451","DBT PURCHASE ON 10/15 @ 03:02 GNC #9516 GNC #9516 KANSAS CITY MO"
﻿,,"10/16/2017","Payment/Deposit","",,"","Pina's Liquor","Uncategorized","Uncategorized","",,"-3.03","Matt Checking 0451","DBT PURCHASE ON 10/14 @ 14:57 Pinas Liquor Pinas Liquor KANSAS C"
﻿,,"10/16/2017","Payment/Deposit","",,"","Phillips 66","Auto:Fuel","Auto:Fuel","",,"-1.62","Matt Checking 0451","DBT PURCHASE ON 10/16 @ 22:20 PHILLIPS 66 - METCALF C PHILLIPS 6"
﻿,,"10/16/2017","Payment/Deposit","",,"","Normal Distr Partial Mirabile, M.d. Beauty, Overland Park Ks","Medical:Doctor","Medical:Doctor","",,"-454.85","Fidelity HSA XX5575","NORMAL DISTR PARTIAL MIRABILE, M.D. BEAUTY,  OVERLAND PARK KS"
﻿,,"10/15/2017","Payment/Deposit","",,"","AMAZON SERVICES-KINDLE 866-321-8","Books","Books","",,"-12.99","Discover 3128(6)","How to Not Give a F*ck"
﻿,,"10/15/2017","Payment/Deposit","",,"","THE TAN COMPANY KANSAS 913-814-8","Personal","Personal","",,"-5.00","Discover 3128(6)",
﻿,,"10/15/2017","Payment/Deposit","",,"","SHAWNEE MISSION MEDICAL 352-2533","Medical:Doctor","Medical:Doctor","",,"-500.00","Discover4221(6)",
﻿,,"10/15/2017","Payment/Deposit","",,"","Wal-Mart","Fix Me:WalMart","Fix Me:WalMart","",,"10.83","Discover 3128(6)",
﻿,,"10/15/2017","Payment/Deposit","",,"","Uptown Theater Bldg","Uncategorized","Uncategorized","",,"-43.00","Matt Checking 0451","DBT PURCHASE ON 10/14 @ 13:26 UPTOWN THEATER UPTOWN THEATER KANS"
﻿,,"10/15/2017","Payment/Deposit","",,"","Uber.com","Uncategorized","Uncategorized","",,"-35.47","Matt Checking 0451","DBT PURCHASE ON 10/15 @ 03:04 UBER US OCT15 3XIBI UBER US OCT15"
﻿,,"10/15/2017","Payment/Deposit","",,"","Express Stop","Uncategorized","Uncategorized","",,"-32.57","Matt Checking 0451","DBT PURCHASE ON 10/15 @ 19:23 CONOCO - EXPRESS STOP CONOCO - EXP"
﻿,,"10/15/2017","Payment/Deposit","",,"","Uber.com","Uncategorized","Uncategorized","",,"-23.01","Matt Checking 0451","DBT PURCHASE ON 10/15 @ 02:12 UBER TECHNOLOGIES INC UBER TECHNOL"
﻿,,"10/15/2017","Payment/Deposit","",,"","QT","Auto:Fuel","Auto:Fuel","",,"-4.77","Matt Checking 0451","DBT PURCHASE ON 10/14 @ 07:18 QT WIRELESS CONNECTIONS QT WIRELES"
﻿,,"10/15/2017","Payment/Deposit","",,"","Costco Visa","Transfer:[Checking]","Transfer:[Checking]","",,"698.00","Costco Visa 5455","payment (auto)"
﻿,,"10/15/2017","Payment/Deposit","",,"","Costco Visa","Transfer:[Costco Visa 5455]","Transfer:[Costco Visa 5455]","",,"-698.00","Checking","payment (auto)"
﻿,,"10/15/2017","Payment/Deposit","EFT",,"","Water District #1","Utilities:Water","Utilities:Water","",,"-121.78","Checking",
﻿,,"10/14/2017","Payment/Deposit","",,"","SPORT CLIPS - KS109 - TH OVERLAN","Personal","Personal","",,"-23.00","Discover4221(6)","GD"
﻿,,"10/14/2017","Payment/Deposit","",,"","Price Chopper","Groceries","Groceries","",,"-7.62","Discover4221(6)",
﻿,,"10/14/2017","Payment/Deposit","",,"","ATM Village Seville","Uncategorized","Uncategorized","",,"-100.00","Matt Checking 0451","ATM VILLAGE SEVILLE 13100 STATE LINE ROAD LEAWOOD KS CARD NBR: -"
﻿,,"10/14/2017","Payment/Deposit","",,"","QT","Auto:Fuel","Auto:Fuel","",,"-32.53","Matt Checking 0451","DBT PURCHASE ON 10/13 @ 03:53 QT WIRELESS CONNECTIONS QT WIRELES"
﻿,,"10/14/2017","Payment/Deposit","",,"","Shell","Uncategorized","Uncategorized","",,"-30.57","Matt Checking 0451","DBT PURCHASE ON 10/13 @ 05:22 SHELL OIL 10005742001 SHELL OIL 10"
﻿,,"10/14/2017","Payment/Deposit","",,"","QT","Auto:Fuel","Auto:Fuel","",,"-26.46","Matt Checking 0451","DBT PURCHASE ON 10/13 @ 03:54 QT WIRELESS CONNECTIONS QT WIRELES"
﻿,,"10/14/2017","Payment/Deposit","",,"","Arizona Trading Co","Uncategorized","Uncategorized","",,"-16.42","Matt Checking 0451","DBT PURCHASE ON 10/14 @ 00:30 SP * ARIZONA TRADING C SP * ARIZON"
﻿,,"10/14/2017","Payment/Deposit","",,"","Express Stop","Uncategorized","Uncategorized","",,"-10.85","Matt Checking 0451","DBT PURCHASE ON 10/14 @ 05:35 CONOCO - EXPRESS STOP CONOCO - EXP"
﻿,,"10/14/2017","Payment/Deposit","",,"","Mc Gonigles' Food Store Inc","Groceries","Groceries","",,"-9.23","Matt Checking 0451","DBT PURCHASE ON 10/13 @ 15:56 MCGONIGLES FOOD STO MCGONIGLES FOO"
﻿,,"10/14/2017","Payment/Deposit","",,"","Arby's","Uncategorized","Uncategorized","",,"-7.72","Matt Checking 0451","DBT PURCHASE ON 10/13 @ 00:27 ARBY'S #8381 ARBY'S #8381 OVERLAND"
﻿,,"10/14/2017","Payment/Deposit","",,"","Phillips 66","Auto:Fuel","Auto:Fuel","",,"-4.35","Matt Checking 0451","DBT PURCHASE ON 10/14 @ 02:51 PHILLIPS 66 - METCALF C PHILLIPS 6"
﻿,,"10/14/2017","Payment/Deposit","",,"","Wal-Mart","Fix Me:WalMart","Fix Me:WalMart","",,"-2.66","Matt Checking 0451","DBT PURCHASE ON 10/14 @ 10:07 WM SUPERCENTER # Wal-Mart Super Ce"
﻿,,"10/14/2017","Payment/Deposit","",,"","Conoco","Uncategorized","Uncategorized","",,"-1.29","Matt Checking 0451","DBT PURCHASE ON 10/14 @ 10:28 CONOCO - FISCA 1620 CONOCO - FISCA"
﻿,,"10/14/2017","Payment/Deposit","",,"","AMEX Everyday","Transfer:[Checking]","Transfer:[Checking]","",,"34.99","AMEX Everyday(22)","payment (auto)"
﻿,,"10/14/2017","Payment/Deposit","",,"","AMEX Everyday","Transfer:[AMEX Everyday(22)]","Transfer:[AMEX Everyday(22)]","",,"-34.99","Checking","payment (auto)"
﻿,,"10/13/2017","Buy","",,"Vanguard LT TREASURY ADM","Vanguard LT TREASURY ADM","13.766 shares @ 12.320209","Investments:Buy","","13.766","-169.60","IBM 401k Fidelity","CONTRIBUTION;VANG LT TREASURY ADM OQAX;as of 10/13/2017"
﻿,,"10/13/2017","Buy","",,"Stable Value","Stable Value","25.909 shares @ 6.545988","Investments:Buy","","25.909","-169.60","IBM 401k Fidelity","CONTRIBUTION;INTEREST INCOME FUND OJFA;as of 10/13/2017"
﻿,,"10/13/2017","Buy","",,"WELLS FARGO HSA FDIC INSURED NOT COVERED BY SIPC","WELLS FARGO HSA FDIC INSURED NOT COVERED BY SIPC","214.58 shares @ 1.00","Investments:Buy","","214.58","-214.58","Fidelity HSA XX5575",""
﻿,,"10/13/2017","Payment/Deposit","",,"","Hy Vee","Groceries","Groceries","",,"-66.53","Sears 9920(29)",
﻿,,"10/13/2017","Payment/Deposit","",,"","Lands End","Fix Me","Fix Me","",,"29.13","Sears 9920(29)",
﻿,,"10/13/2017","Payment/Deposit","",,"","Lands End","Fix Me","Fix Me","",,"95.17","Sears 9920(29)",
﻿,,"10/13/2017","Payment/Deposit","",,"","Phillips 66","Fix Me","Fix Me","",,"-5.00","Sears 9920(29)",
﻿,,"10/13/2017","Payment/Deposit","",,"","Wal-Mart","Fix Me:WalMart","Fix Me:WalMart","",,"-32.13","Discover 3128(6)",
﻿,,"10/13/2017","Payment/Deposit","",,"","GOOGLE *SERVICES G.CO/HELPPAY#CA","Utilities:Cable TV","Utilities:Cable TV","",,"-172.61","Discover 3128(6)",
﻿,,"10/13/2017","Payment/Deposit","",,"","Target","Fix Me","Fix Me","",,"-125.75","Discover 3128(6)","DBT PURCHASE ON 09/14 @ 16:56 TARGET 00017574 TARGET 00017574 O"
﻿,,"10/13/2017","Payment/Deposit","",,"","HELLOFRESH NEW YORK CITYNY","Groceries","Groceries","",,"-119.88","Discover 3128(6)",
﻿,,"10/13/2017","Payment/Deposit","",,"","MANS BEST FRIEND BELTON MO","Pets","Pets","",,"-59.40","Discover 3128(6)",
﻿,,"10/13/2017","Payment/Deposit","",,"","Home Depot","Fix Me","Fix Me","",,"-33.85","Discover 3128(6)",
﻿,,"10/13/2017","Payment/Deposit","",,"","ARBY'S #8381 OVERLAND PARKKS","Dining:Family","Dining:Family","",,"-22.39","Discover 3128(6)",
﻿,,"10/13/2017","Payment/Deposit","",,"","Hy Vee","Groceries","Groceries","",,"-22.00","Discover 3128(6)",
﻿,,"10/13/2017","Payment/Deposit","",,"","DOLLARTREE KANSAS CITY MO","Fix Me","Fix Me","",,"-6.58","Discover 3128(6)",
﻿,,"10/13/2017","Payment/Deposit","",,"","APL* ITUNES.COM/BILL 866-712-775","Fix Me","Fix Me","",,"-6.54","Discover 3128(6)",
﻿,,"10/13/2017","Payment/Deposit","",,"","TEAM GREEN LAWN QUICKBOOKS","Uncategorized","Uncategorized","",,"554.33","Matt Checking 0451",
﻿,,"10/13/2017","Payment/Deposit","",,"","ATM STATE LINE 1900 W 75TH ST PR","Uncategorized","Uncategorized","",,"-20.00","Matt Checking 0451","ATM STATE LINE 1900 W 75TH ST PRAIRIE VILLAKS CARD NBR: -9811"
﻿,,"10/13/2017","Payment/Deposit","",,"","QT","Auto:Fuel","Auto:Fuel","",,"-4.97","Matt Checking 0451","DBT PURCHASE ON 10/13 @ 19:43 QT 197 02001972 QT 197 02001972 KA"
﻿,,"10/13/2017","Payment/Deposit","",,"","IBM Paycheck","Transfer:[Savings]","Transfer:[Savings]","",,"214.58","Fidelity HSA XX5575","Medical savings plan"
﻿,,"10/13/2017","Payment/Deposit","",,"","IBM Paycheck","Transfer:[Savings]","Transfer:[Savings]","",,"339.20","IBM 401k Fidelity","contribution"
﻿,"S","10/13/2017","Payment/Deposit","Deposit",,"","IBM Paycheck","Salary","Salary","",,"5,653.25","Savings","Gross pay"
﻿,"S","10/13/2017","Payment/Deposit","Deposit",,"","IBM Paycheck","Salary","Salary","",,"78.54","Savings","Life Insurance (implied)"
﻿,"S","10/13/2017","Payment/Deposit","Deposit",,"","IBM Paycheck","Tax:Medicare","Tax:Medicare","",,"-78.19","Savings","Paycheck"
﻿,"S","10/13/2017","Payment/Deposit","Deposit",,"","IBM Paycheck","Tax:Soc Sec","Tax:Soc Sec","",,"-334.33","Savings","Paycheck"
﻿,"S","10/13/2017","Payment/Deposit","Deposit",,"","IBM Paycheck","Tax:Fed","Tax:Fed","",,"-564.97","Savings","Paycheck"
﻿,"S","10/13/2017","Payment/Deposit","Deposit",,"","IBM Paycheck","Tax:Kansas","Tax:Kansas","",,"-205.38","Savings","Paycheck"
﻿,"S","10/13/2017","Payment/Deposit","Deposit",,"","IBM Paycheck","Transfer:[IBM 401k Fidelity]","Transfer:[IBM 401k Fidelity]","",,"-339.20","Savings","contribution"
﻿,"S","10/13/2017","Payment/Deposit","Deposit",,"","IBM Paycheck","Insurance:Medical","Insurance:Medical","",,"-124.78","Savings","Health care (medical + dental)"
﻿,"S","10/13/2017","Payment/Deposit","Deposit",,"","IBM Paycheck","Transfer:[Fidelity HSA XX5575]","Transfer:[Fidelity HSA XX5575]","",,"-214.58","Savings","Medical savings plan"
﻿,"S","10/13/2017","Payment/Deposit","Deposit",,"","IBM Paycheck","Insurance:Life","Insurance:Life","",,"-79.72","Savings","Life Insurance"
﻿,"S","10/13/2017","Payment/Deposit","Deposit",,"","IBM Paycheck","Insurance:Life","Insurance:Life","",,"-78.54","Savings","LIfe Insurance (implied)"
﻿,,"10/13/2017","Payment/Deposit","Deposit",,"","IBM Match","Misc Inc","Misc Inc","",,"450.00","Deferred 401k Match","IBM Match"
﻿,,"10/12/2017","Payment/Deposit","",,"","McDonald's","Dining","Dining","",,"-16.97","Discover 3128(6)","DBT PURCHASE ON 09/13 @ 13:48 MCDONALD'S F11441 MCDONALD'S F114"
﻿,,"10/12/2017","Payment/Deposit","",,"","WHOLEFDS OLA #10538 OLATHE KS","Dining:Greg","Dining:Greg","",,"-10.13","Discover4221(6)",
﻿,,"10/12/2017","Payment/Deposit","",,"","Panda Express","Dining:Family","Dining:Family","",,"-19.00","Discover 3128(6)",
﻿,,"10/12/2017","Payment/Deposit","",,"","APL* ITUNES.COM/BILL 866-712-775","Fix Me","Fix Me","",,"-1.08","Discover 3128(6)",
﻿,,"10/11/2017","Payment/Deposit","",,"","Wal-Mart","Fix Me:WalMart","Fix Me:WalMart","",,"-67.08","Discover 3128(6)",
﻿,,"10/11/2017","Payment/Deposit","",,"","PAYPAL *LKSIDE COLL 402-935-7733","Fix Me","Fix Me","",,"-63.92","Discover 3128(6)",
﻿,,"10/11/2017","Payment/Deposit","",,"","McDonald's","Dining","Dining","",,"-6.90","Discover 3128(6)","DBT PURCHASE ON 09/13 @ 13:48 MCDONALD'S F11441 MCDONALD'S F114"
﻿,,"10/11/2017","Payment/Deposit","",,"","Panda Express","Dining:Greg","Dining:Greg","",,"-7.00","Discover4221(6)",
﻿,,"10/11/2017","Payment/Deposit","",,"","QT","Auto:Fuel","Auto:Fuel","",,"-32.53","Matt Checking 0451","DBT PURCHASE ON 10/10 @ 16:17 QT WIRELESS CONNECTIONS QT WIRELES"
﻿,,"10/11/2017","Payment/Deposit","",,"","McDonald's","Dining:Greg","Dining:Greg","",,"-3.20","Matt Checking 0451","DBT PURCHASE ON 10/10 @ 17:41 MCDONALD'S F31076 MCDONALD'S F3107"
﻿,,"10/11/2017","Payment/Deposit","",,"","Loan Nissan Leaf","Transfer:[Checking]","Transfer:[Checking]","",,"631.70","Loan Nissan Leaf",
﻿,"S","10/11/2017","Payment/Deposit","Sched",,"","Loan Nissan Leaf","Transfer:[Loan Nissan Leaf]","Transfer:[Loan Nissan Leaf]","",,"-631.70","Checking",
﻿,"S","10/11/2017","Payment/Deposit","Sched",,"","Loan Nissan Leaf","Auto & Transport:Auto Payment:Interest","Auto & Transport:Auto Payment:Interest","",,"-6.19","Checking",
﻿,,"10/10/2017","Payment/Deposit","",,"","SUBURBAN LAWN AND GARDEN KANSAS","Household:Landscape","Household:Landscape","",,"32.66","Discover 3128(6)",
﻿,,"10/10/2017","Payment/Deposit","",,"","WHOLEFDS OLA #10538 OLATHE KS","Dining:Greg","Dining:Greg","",,"-4.40","Discover4221(6)",
﻿,,"10/10/2017","Payment/Deposit","",,"","DBT PURCHASE ON 10/08 @ 21:06 IN","Uncategorized","Uncategorized","",,"-24.44","Matt Checking 0451","DBT PURCHASE ON 10/08 @ 21:06 IN *KC SMOKE & VAPE IN *KC SMOKE &"
